Time,Load,Crosshead,Extensometer
55.959,4948.725,1.396173,0.061318
56.059,4956.341,1.398674,0.061394
56.159,4964.46,1.401235,0.061506
56.259,4972.1,1.403737,0.061536
56.359,4979.684,1.406179,0.061719
56.459,4988.236,1.40874,0.061742
56.559,4995.625,1.411301,0.061942
56.659,5003.147,1.413743,0.062028
56.759,5011.084,1.416244,0.062052
56.859,5019.802,1.418805,0.062211
56.959,5026.825,1.421187,0.062287
57.059,5034.628,1.423748,0.0624
57.159,5043.18,1.42625,0.062496
57.259,5050.107,1.428692,0.062562
57.359,5057.503,1.431193,0.0627
57.459,5065.78,1.433754,0.062809
57.559,5073.087,1.436196,0.06287
57.659,5081.196,1.438638,0.062992
57.759,5089.749,1.441199,0.063114
57.859,5097.205,1.4437,0.063154
57.959,5104.933,1.446142,0.063255
58.059,5112.519,1.448703,0.063402
58.159,5120.642,1.451205,0.063446
58.259,5127.662,1.453647,0.063603
58.359,5135.716,1.456208,0.063667
58.459,5144.758,1.458769,0.063846
58.559,5152.306,1.461211,0.063926
58.659,5159.975,1.463712,0.063976
58.759,5167.577,1.466214,0.064056
58.859,5175.505,1.468715,0.064235
58.959,5182.751,1.471157,0.064307
59.059,5190.763,1.473718,0.064376
59.159,5198.274,1.47622,0.064418
59.259,5205.532,1.478661,0.064632
59.359,5214.108,1.481163,0.064703
59.459,5221.388,1.483664,0.064764
59.559,5228.855,1.486106,0.064933
59.659,5236.735,1.488608,0.064984
59.759,5244.726,1.491169,0.065089
59.859,5252.543,1.493611,0.065121
59.959,5259.978,1.496112,0.065273
60.059,5268.173,1.498673,0.065344
60.159,5275.537,1.501175,0.065443
60.259,5283.897,1.503616,0.065584
60.359,5292.044,1.506177,0.065717
60.459,5300.145,1.508679,0.065778
60.559,5307.461,1.511121,0.065874
60.659,5315.255,1.513682,0.06593
60.759,5324.075,1.516183,0.066151
60.859,5331.279,1.518625,0.066249
60.959,5338.748,1.521186,0.06633
61.059,5346.979,1.523747,0.066399
61.159,5354.754,1.526189,0.066437
61.259,5362.461,1.528631,0.066594
61.359,5370.69,1.531132,0.066742
61.459,5377.808,1.533574,0.066821
61.559,5385.687,1.536076,0.06681
61.659,5393.766,1.538577,0.067064
61.759,5401.967,1.541138,0.067134
61.859,5409.115,1.54358,0.067229
61.959,5417.14,1.546141,0.067335
62.059,5425.4,1.548643,0.067425
62.159,5433.202,1.551085,0.06754
62.259,5440.626,1.553586,0.067574
62.359,5449.593,1.556147,0.067696
62.459,5456.869,1.558589,0.067827
62.559,5464.151,1.56109,0.067858
62.659,5472.832,1.563652,0.068002
62.759,5479.591,1.566153,0.068157
62.859,5487.331,1.568595,0.068121
62.959,5495.459,1.571096,0.068289
63.059,5503.551,1.573598,0.068411
63.159,5511.085,1.57604,0.06853
63.259,5518.569,1.578541,0.06859
63.359,5527.323,1.581102,0.06871
63.459,5534.262,1.583544,0.068867
63.559,5542.009,1.586045,0.068948
63.659,5550.455,1.588607,0.069007
63.759,5557.96,1.591048,0.069157
63.859,5566.086,1.59355,0.069269
63.959,5574.447,1.596111,0.06939
64.059,5582.495,1.598553,0.069454
64.159,5590.263,1.601054,0.069601
64.259,5598.405,1.603615,0.06971
64.359,5606.379,1.606117,0.069803
64.459,5613.92,1.608618,0.06984
64.559,5621.572,1.61112,0.070037
64.659,5630.057,1.613621,0.07011
64.759,5637.774,1.616063,0.070244
64.859,5645.811,1.618564,0.070228
64.959,5654.366,1.621126,0.070481
65.059,5662.037,1.623567,0.070536
65.159,5669.765,1.626069,0.070653
65.259,5678.172,1.62857,0.070773
65.359,5685.121,1.631072,0.070884
65.459,5692.671,1.633514,0.070933
65.559,5700.827,1.636015,0.071098
65.659,5709.268,1.638517,0.071172
65.759,5716.922,1.641018,0.071272
65.859,5725.075,1.64352,0.071381
65.959,5733.735,1.646021,0.071521
66.059,5740.645,1.648522,0.071511
66.159,5749.189,1.651024,0.071675
66.259,5757.54,1.653585,0.071766
66.359,5765.274,1.656086,0.071933
66.459,5772.43,1.658528,0.072019
66.559,5781.797,1.661089,0.072204
66.659,5789.251,1.663531,0.072198
66.759,5796.281,1.666033,0.072309
66.859,5804.279,1.668534,0.072457
66.959,5812.335,1.671036,0.072436
67.059,5819.967,1.673478,0.072633
67.159,5827.65,1.675979,0.072769
67.259,5835.479,1.67854,0.072833
67.359,5843.233,1.680982,0.072989
67.459,5851.275,1.683424,0.073049
67.559,5860.052,1.685985,0.0732
67.659,5867.448,1.688486,0.073339
67.759,5875.435,1.690928,0.073392
67.859,5883.771,1.693489,0.073582
67.959,5891.688,1.695991,0.073674
68.059,5899.654,1.698492,0.073762
68.159,5907.666,1.701053,0.073809
68.259,5916.677,1.703555,0.073947
68.359,5924.89,1.705996,0.074024
68.459,5932.183,1.708498,0.074136
68.559,5940.723,1.711059,0.074264
68.659,5948.203,1.713501,0.074448
68.759,5955.541,1.715943,0.074517
68.859,5963.972,1.718504,0.074572
68.959,5971.346,1.721005,0.07469
69.059,5978.705,1.723447,0.074842
69.159,5987.678,1.725949,0.074973
69.259,5995.505,1.72845,0.075079
69.359,6003.56,1.730892,0.075216
69.459,6011.781,1.733394,0.075307
69.559,6020.054,1.735955,0.075409
69.659,6027.64,1.738396,0.075531
69.759,6035.609,1.740898,0.075659
69.859,6044.106,1.743459,0.07577
69.959,6051.131,1.74596,0.075889
70.059,6059.491,1.748462,0.076014
70.159,6068.456,1.750963,0.076092
70.259,6076.138,1.753465,0.076174
70.359,6083.97,1.755907,0.076358
70.459,6091.983,1.758468,0.076466
70.559,6099.803,1.760969,0.076582
70.659,6106.522,1.763411,0.076616
70.759,6114.975,1.765972,0.076814
70.859,6123.225,1.768533,0.076876
70.959,6130.232,1.770915,0.07698
71.059,6138.371,1.773417,0.077068
71.159,6146.802,1.775918,0.077188
71.259,6154.543,1.77836,0.077343
71.359,6162.252,1.780862,0.077464
71.459,6171.104,1.783423,0.07756
71.559,6178.381,1.785924,0.077743
71.659,6186.242,1.788426,0.07786
71.759,6194.577,1.790927,0.077948
71.859,6202.849,1.793429,0.078085
71.959,6210.396,1.79587,0.078195
72.059,6218.301,1.798372,0.078348
72.159,6227.1,1.800933,0.078496
72.259,6234.652,1.803375,0.078576
72.359,6242.568,1.805936,0.078815
72.459,6250.348,1.808497,0.078956
72.559,6257.377,1.810939,0.079001
72.659,6265.33,1.81344,0.079151
72.759,6273.338,1.815942,0.079225
72.859,6281.565,1.818384,0.079448
72.959,6288.709,1.820885,0.079504
73.059,6296.742,1.823387,0.079716
73.159,6304.441,1.825888,0.079794
73.259,6311.121,1.82833,0.080033
73.359,6318.934,1.830831,0.080172
73.459,6326.815,1.833392,0.080282
73.559,6333.587,1.835834,0.080385
